title,year,rating_score,rating_people,runtime,star5,star4,director,screenwriter,actor_1,actor_2,actor_3,country,genre_1,genre_2,imdb_link,quote
肖申克的救赎,1994,9.6,731795,142,81.4%,16.3%,弗兰克·德拉邦特,弗兰克·德拉邦特,蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,美国,剧情,犯罪,http://www.imdb.com/title/tt0111161,希望让人自由。
这个杀手不太冷,1994,9.4,703270,133,73.5%,22.7%,吕克·贝松,吕克·贝松,让·雷诺,娜塔莉·波特曼,加里·奥德曼,法国,剧情,动作,http://www.imdb.com/title/tt0110413,怪蜀黍和小萝莉不得不说的故事。
霸王别姬,1993,9.5,513307,171,77.0%,19.5%,陈凯歌,芦苇,张国荣,张丰毅,巩俐,中国大陆/香港,剧情,爱情,http://www.imdb.com/title/tt0106332,风华绝代。
阿甘正传,1994,9.4,611981,142,73.6%,22.5%,罗伯特·泽米吉斯,艾瑞克·罗斯,汤姆·汉克斯,罗宾·怀特,加里·西尼斯,美国,剧情,爱情,http://www.imdb.com/title/tt0109830,一部美国近现代史。
美丽人生,1997,9.5,350156,116,76.6%,19.9%,罗伯托·贝尼尼,文森佐·克拉米,罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,意大利,剧情,喜剧,http://www.imdb.com/title/tt0118799,最美的谎言。
千与千寻,2001,9.2,561022,125,65.9%,28.2%,宫崎骏,宫崎骏,柊瑠美,入野自由,夏木真理,日本,剧情,动画,http://www.imdb.com/title/tt0245429,最好的宫崎骏，最好的久石让。 
辛德勒的名单,1993,9.4,324674,195,72.8%,23.3%,史蒂文·斯皮尔伯格,托马斯·肯尼利,连姆·尼森,本·金斯利,拉尔夫·费因斯,美国,剧情,历史,http://www.imdb.com/title/tt0108052,拯救一个人，就是拯救整个世界。
海上钢琴师,1998,9.2,525630,165,66.1%,27.3%,朱塞佩·托纳多雷,亚利桑德罗·巴里克,蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩,意大利,剧情,音乐,http://www.imdb.com/title/tt0120731,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
机器人总动员,2008,9.3,442329,98,69.4%,25.1%,安德鲁·斯坦顿,安德鲁·斯坦顿,本·贝尔特,艾丽莎·奈特,杰夫·格尔林,www.pixar.com/features_films/WALLE,喜剧,爱情,http://www.pixar.com/features_films/WALLE,小瓦力，大人生。
盗梦空间,2010,9.2,672762,148,67.5%,27.1%,克里斯托弗·诺兰,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾伦·佩吉,美国/英国,剧情,动作,http://www.imdb.com/title/tt1375666,诺兰给了我们一场无法盗取的梦。
