,quote,star_num,star_score,title
0,希望让人自由。,731795,9.6,肖申克的救赎
1,怪蜀黍和小萝莉不得不说的故事。,703270,9.4,这个杀手不太冷
2,风华绝代。,513307,9.5,霸王别姬
3,一部美国近现代史。,611981,9.4,阿甘正传
4,最美的谎言。,350156,9.5,美丽人生
5,最好的宫崎骏，最好的久石让。 ,561022,9.2,千与千寻
6,拯救一个人，就是拯救整个世界。,324674,9.4,辛德勒的名单
7,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,525630,9.2,海上钢琴师
8,小瓦力，大人生。,442329,9.3,机器人总动员
9,诺兰给了我们一场无法盗取的梦。,672762,9.2,盗梦空间
10,失去的才是永恒的。 ,562598,9.1,泰坦尼克号
11,英俊版憨豆，高情商版谢耳朵。,578117,9.1,三傻大闹宝莱坞
12,天籁一般的童声，是最接近上帝的存在。 ,390599,9.2,放牛班的春天
13,永远都不能忘记你所爱的人。,375720,9.2,忠犬八公的故事
14,一生所爱。,388741,9.1,大话西游之大圣娶亲
15,人人心中都有个龙猫，童年就永远不会消失。,363706,9.1,龙猫
16,千万不要记恨你的对手，这样会让你失去理智。,298280,9.2,教父
17,Tomorrow is another day.,236898,9.2,乱世佳人
18,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,273050,9.1,天堂电影院
19,如果再也不能见到你，祝你早安，午安，晚安。,377475,9.0,楚门的世界
20,平民励志片。 ,471788,8.9,当幸福来敲门
21,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,368147,9.0,搏击俱乐部
22,满满温情的高雅喜剧。,314545,9.1,触不可及
23,史诗的终章。,252276,9.1,指环王3：王者无敌
24,1957年的理想主义。 ,145273,9.3,十二怒汉
25,爱情哪怕只有一天。,337415,8.9,罗马假日
26,真正的幸福是来自内心深处。,458464,8.9,怦然心动
27,对天空的追逐，永不停止。 ,286632,9.0,天空之城
28,香港电影史上永不过时的杰作。,338006,8.9,无间道
29,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,242716,9.0,两杆大烟枪
30,最后那些最无聊的事情，才是最值得怀念的。 ,444111,8.9,飞屋环游记
31,旷古烁今。,337102,8.9,大话西游之月光宝盒
32,瑰丽壮观、无人能及的冒险之旅。,513707,9.0,少年派的奇幻漂流
33,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,189861,9.1,熔炉
34,自由万岁。,244475,9.0,飞越疯人院
35,对敌人的仁慈，就是对自己残忍。,191856,9.1,鬼子来了
36,海豚的微笑，是世界上最高明的伪装。,164771,9.3,海豚湾
37,无尽的黑暗。,271940,9.0,蝙蝠侠：黑暗骑士
38,别样人生。,188766,9.1,窃听风暴
39,张艺谋最好的电影。,218390,9.0,活着
40,一张面具背后的理想与革命。,355822,8.8,V字仇杀队
41,史上最美的探戈。,277081,8.9,闻香识女人
42,法式小清新。 ,430936,8.7,天使爱美丽
43,爱是一切逻辑和原由。,267502,8.9,美丽心灵
44,承前启后的史诗篇章。,239883,8.9,指环王2：双塔奇兵
45,传说的开始。,267360,8.9,指环王1：魔戒再现
46,优雅的孤独。,161127,9.1,教父2
47,爱是一种力量，让我们超越时空感知它的存在。,410287,9.1,星际穿越
48,带着心爱的人在天空飞翔。,295979,8.8,哈尔的移动城堡
49,警察抓小偷，老鼠玩死猫。,386844,8.7,七宗罪
50,暗恋的极致。,317622,8.8,情书
51,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,235691,8.9,死亡诗社
52,往事如烟，无处祭奠。,150434,9.1,美国往事
53,史诗大片的典范。,263901,8.8,勇敢的心
54,浪漫忧郁的成人童话。,426467,8.7,剪刀手爱德华
55,音乐能化解仇恨。,176356,9.0,钢琴家
56,孪生蝙蝠侠大战克隆金刚狼。,295134,8.8,致命魔术
57,动物版《哈姆雷特》。,245472,8.8,狮子王
58,以戏谑来戏谑戏谑。,224919,8.9,被嫌弃的松子的一生
