,actor_1,actor_2,actor_3,country,director,genre_1,genre_2,imdb_link,rating_people,rating_score,runtime,screenwriter,star4,star5,title,year
0,蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,美国,弗兰克·德拉邦特,剧情,犯罪,http://www.imdb.com/title/tt0111161,731833,9.6,142 分钟,弗兰克·德拉邦特,16.3%,81.4%,肖申克的救赎 The Shawshank Redemption,1994
1,让·雷诺,娜塔莉·波特曼,加里·奥德曼,法国,吕克·贝松,剧情,动作,http://www.imdb.com/title/tt0110413,703290,9.4,133分钟(国际版),吕克·贝松,22.7%,73.5%,这个杀手不太冷 Léon,1994
2,张国荣,张丰毅,巩俐,中国大陆/香港,陈凯歌,剧情,爱情,http://www.imdb.com/title/tt0106332,513250,9.5,171 分钟,芦苇,19.5%,77.0%,霸王别姬,1993
3,汤姆·汉克斯,罗宾·怀特,加里·西尼斯,美国,罗伯特·泽米吉斯,剧情,爱情,http://www.imdb.com/title/tt0109830,612029,9.4,142 分钟,艾瑞克·罗斯,22.5%,73.6%,阿甘正传 Forrest Gump,1994
4,罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,意大利,罗伯托·贝尼尼,剧情,喜剧,http://www.imdb.com/title/tt0118799,350189,9.5,116分钟,文森佐·克拉米,19.9%,76.6%,美丽人生 La vita è bella,1997
5,柊瑠美,入野自由,夏木真理,日本,宫崎骏,剧情,动画,http://www.imdb.com/title/tt0245429,560968,9.2,125分钟,宫崎骏,28.2%,65.9%,千与千寻 千と千尋の神隠し,2001
6,连姆·尼森,本·金斯利,拉尔夫·费因斯,美国,史蒂文·斯皮尔伯格,剧情,历史,http://www.imdb.com/title/tt0108052,324678,9.4,195分钟,托马斯·肯尼利,23.3%,72.8%,辛德勒的名单 Schindler's List,1993
7,蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩,意大利,朱塞佩·托纳多雷,剧情,音乐,http://www.imdb.com/title/tt0120731,525631,9.2,165分钟,亚利桑德罗·巴里克,27.3%,66.1%,海上钢琴师 La leggenda del pianista sull'oceano,1998
8,本·贝尔特,艾丽莎·奈特,杰夫·格尔林,www.pixar.com/features_films/WALLE,安德鲁·斯坦顿,喜剧,爱情,http://www.pixar.com/features_films/WALLE,442360,9.3,98分钟,安德鲁·斯坦顿,25.1%,69.4%,机器人总动员 WALL·E,2008
9,莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾伦·佩吉,美国/英国,克里斯托弗·诺兰,剧情,动作,http://www.imdb.com/title/tt1375666,672797,9.2,148分钟,克里斯托弗·诺兰,27.1%,67.5%,盗梦空间 Inception,2010
